FOLIO,INGRESO,SEM. INSCRITOS,CARRERA,ESTADO PREPA,PROM. PREPA,PROM. ITAM,REPRO.,BAJAS
1,200001,9,M.A,D.F,9.90,09.19,1,7
2,200001,5,ACT,D.F,9.76,08.64,0,3
3,199903,8,ACT,D.F,9.33,08.09,2,2
4,199903,7,TEL,D.F,8.40,08.87,0,7
5,199903,6,ACT,EME,9.26,08.15,1,0
6,199903,10,ADM,D.F,8.79,08.13,4,2
7,199903,10,ADM,D.F,8.90,08.40,2,5
8,199903,12,ACP,D.F,9.80,08.98,0,7
9,199903,10,IND,D.F,9.30,08.79,1,0
10,199903,9,R.I,D.F,9.59,08.92,0,0
11,199903,10,DER,D.F,8.60,08.22,0,2
12,199903,9,ADM,D.F,9.35,08.70,1,1
13,199903,11,ACT,EME,8.00,07.62,3,2
14,199903,9,ADM,D.F,8.27,08.43,0,0
15,199903,8,ADM,CHS,9.04,07.60,3,0
16,199903,10,ADM,D.F,8.53,09.02,0,6
17,199903,10,ADM,SON,9.90,08.10,1,6
18,199903,9,ADM,D.F,6.83,08.19,3,2
19,199903,9,COM,D.F,9.74,08.77,0,0
20,199903,8,ACT,EME,9.20,08.98,2,0
21,199903,11,ADM,D.F,9.76,07.48,6,1
22,199903,12,ADM,D.F,8.55,07.49,6,4
23,199903,9,ECO,D.F,9.38,08.91,0,0
24,199903,12,ACF,VER,9.20,07.58,5,4
25,199903,12,ADM,D.F,8.25,07.85,4,3
26,199903,9,ECO,D.F,9.56,08.93,0,0
27,199903,12,ADM,D.F,8.94,08.45,1,0
28,199903,11,CEF,D.F,9.31,08.28,1,1
29,199903,11,ECO,D.F,9.73,07.72,2,4
30,199903,9,ACT,EME,8.80,07.79,3,1
31,199903,12,TEL,D.F,9.25,07.77,3,7
32,199903,13,IND,D.F,8.80,08.44,3,4
33,199903,10,ADM,D.F,9.56,08.15,2,6
34,199903,11,CPL,MIC,7.80,08.51,3,1
35,199903,11,ACT,D.F,9.94,07.57,8,4
36,199903,10,ADM,D.F,9.88,08.35,1,5
37,199903,10,COM,D.F,7.75,08.59,0,1
38,199903,13,ECO,D.F,9.42,08.15,0,3
39,199903,10,ACF,D.F,9.50,08.19,0,0
40,200001,9,M.A,D.F,10.00,09.38,0,1
41,199903,8,ADM,D.F,9.81,08.30,0,2
42,199903,16,ADM,MOR,9.10,07.82,12,6
43,199903,13,R.I,D.F,8.50,08.72,2,2
44,199903,10,ECO,PUE,9.50,07.85,1,4
45,199903,10,ACF,D.F,9.88,08.63,1,0
46,199903,10,M.A,D.F,9.31,08.74,2,3
47,199903,13,DER,D.F,7.60,07.76,11,19
48,199903,14,CEF,D.F,8.00,07.22,12,5
49,199903,12,R.I,D.F,9.44,08.79,0,1
50,199903,10,DER,D.F,9.06,08.85,0,0
51,199903,10,R.I,D.F,7.75,08.31,6,4
52,199903,16,TEL,D.F,9.06,07.28,15,4
53,199903,9,ACT,EME,9.75,08.66,1,2
54,199903,8,ADM,D.F,9.25,08.55,0,1
55,199903,10,DER,D.F,8.81,08.44,1,0
56,199903,12,R.I,EME,8.19,07.81,4,4
57,200201,15,ADM,D.F,8.80,07.28,11,7
58,199903,14,DER,MOR,9.50,08.16,6,12
59,200001,10,ECO,MOR,8.60,09.15,0,5
60,199903,13,ADM,D.F,8.94,07.68,5,4
61,200001,11,ECO,D.F,8.40,08.26,1,3
62,199903,13,M.A,D.F,8.13,08.02,4,12
63,199903,14,EPL,D.F,7.30,07.34,10,5
64,199903,9,ACT,D.F,9.56,08.02,0,4
65,199903,11,R.I,D.F,8.60,07.69,5,5
66,199903,10,ECO,EME,8.38,08.15,0,4
67,200001,10,R.I,D.F,8.84,08.38,1,0
68,199903,10,ACT,D.F,9.75,07.74,6,1
69,199903,12,ACT,D.F,8.06,07.60,10,5
70,199903,8,ACT,MOR,9.80,08.45,0,1
71,199903,16,ECO,D.F,9.50,07.43,10,4
